Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_10uF_Tant","CP_EIA-3216-18_Kemet-A",156.150000,-34.362500,180.000000,top
"C2","C_100nF","C_0603_1608Metric",137.000000,-35.500000,180.000000,top
"C3","C_10uF_Tant","CP_EIA-3216-18_Kemet-A",151.206250,-30.637500,-90.000000,top
"C4","C_10uF_Tant","CP_EIA-3216-18_Kemet-A",156.150000,-36.862500,180.000000,top
"C5","C_100nF","C_0603_1608Metric",167.500000,-35.500000,180.000000,top
"C6","C_47pF","C_0603_1608Metric",140.000000,-23.500000,180.000000,top
"C7","C_100nF","C_0603_1608Metric",171.000000,-28.500000,180.000000,top
"C8","C_100nF","C_0603_1608Metric",140.500000,-28.500000,180.000000,top
"C9","C_47pF","C_0603_1608Metric",148.500000,-23.500000,180.000000,top
"C10","C_47pF","C_0603_1608Metric",168.500000,-22.500000,-90.000000,top
"C11","C_47pF","C_0603_1608Metric",177.000000,-22.500000,-90.000000,top
"FB1","FerriteBead_Small","R_0805_2012Metric",126.000000,-28.000000,-90.000000,top
"J1","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",141.000000,-19.000000,-90.000000,top
"J2","TYPE-C-31-M-12","HRO_TYPE-C-31-M-12",128.500000,-22.000000,180.000000,top
"J3","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",150.025000,-19.000000,-90.000000,top
"J4","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",168.500000,-19.000000,-90.000000,top
"J5","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",177.525000,-19.000000,-90.000000,top
"R1","R_1Mohm","R_2512_6332Metric",128.000000,-44.500000,90.000000,top
"R2","R_1Mohm","R_2512_6332Metric",143.000000,-52.500000,90.000000,top
"R3","R_1Mohm","R_2512_6332Metric",128.000000,-52.500000,90.000000,top
"R4","R_1Mohm","R_2512_6332Metric",135.500000,-52.500000,90.000000,top
"R5","R_1Mohm","R_2512_6332Metric",135.500000,-44.500000,90.000000,top
"R6","R_10k","R_0603_1608Metric",136.500000,-39.500000,0.000000,top
"R7","R_10k","R_0603_1608Metric",133.500000,-31.500000,180.000000,top
"R8","R_40k","R_0603_1608Metric",140.000000,-35.500000,0.000000,top
"R9","R_40k","R_0603_1608Metric",133.500000,-30.000000,0.000000,top
"R10","R_47","R_0603_1608Metric",136.500000,-22.500000,90.000000,top
"R11","R_DNP","R_0603_1608Metric",140.000000,-22.000000,0.000000,top
"R12","R_1Mohm","R_2512_6332Metric",150.500000,-52.500000,90.000000,top
"R13","R_1Mohm","R_2512_6332Metric",143.000000,-44.590000,90.000000,top
"R14","R_1Mohm","R_2512_6332Metric",150.500000,-44.500000,90.000000,top
"R15","R_10k","R_0603_1608Metric",144.000000,-39.500000,0.000000,top
"R16","R_40k","R_0603_1608Metric",144.000000,-35.500000,0.000000,top
"R17","R_10k","R_0603_1608Metric",144.500000,-32.500000,0.000000,top
"R18","R_40k","R_0603_1608Metric",144.500000,-31.000000,180.000000,top
"R19","R_47","R_0603_1608Metric",144.500000,-22.500000,90.000000,top
"R20","R_DNP","R_0603_1608Metric",148.500000,-22.000000,0.000000,top
"R21","R_1Mohm","R_2512_6332Metric",158.000000,-52.537500,90.000000,top
"R22","R_1Mohm","R_2512_6332Metric",165.500000,-52.537500,90.000000,top
"R23","R_1Mohm","R_2512_6332Metric",173.000000,-52.500000,90.000000,top
"R24","R_1Mohm","R_2512_6332Metric",180.500000,-52.462500,90.000000,top
"R25","R_1Mohm","R_2512_6332Metric",158.000000,-44.500000,90.000000,top
"R26","R_1Mohm","R_2512_6332Metric",165.500000,-44.537500,90.000000,top
"R27","R_1Mohm","R_2512_6332Metric",173.000000,-44.500000,90.000000,top
"R28","R_1Mohm","R_2512_6332Metric",180.500000,-44.432500,90.000000,top
"R29","R_10k","R_0603_1608Metric",167.500000,-39.500000,0.000000,top
"R30","R_40k","R_0603_1608Metric",170.500000,-35.500000,0.000000,top
"R31","R_10k","R_0603_1608Metric",174.825000,-39.500000,0.000000,top
"R32","R_40k","R_0603_1608Metric",174.500000,-35.500000,0.000000,top
"R33","R_10k","R_0603_1608Metric",164.000000,-31.500000,180.000000,top
"R34","R_10k","R_0603_1608Metric",175.000000,-32.500000,0.000000,top
"R35","R_40k","R_0603_1608Metric",164.000000,-30.000000,0.000000,top
"R36","R_40k","R_0603_1608Metric",175.000000,-31.000000,180.000000,top
"R37","R_47","R_0603_1608Metric",167.000000,-22.500000,90.000000,top
"R38","R_47","R_0603_1608Metric",175.500000,-22.500000,90.000000,top
"R39","R_DNP","R_0603_1608Metric",170.000000,-22.500000,90.000000,top
"R40","R_DNP","R_0603_1608Metric",178.500000,-22.500000,90.000000,top
"R41","R_100","R_0805_2012Metric",151.800000,-24.300000,0.000000,top
"R42","R_100","R_0805_2012Metric",151.800000,-26.300000,180.000000,top
"U1","OPA2356xxD","SO-8_3.9x4.9mm_P1.27mm",139.000000,-32.000000,0.000000,top
"U2","OPA2356xxD","SO-8_3.9x4.9mm_P1.27mm",169.500000,-32.000000,0.000000,top
"U3","XC6206PxxxMR","SOT-23",154.206250,-31.137500,90.000000,top
